ID,Name,Siret,Address,Zip Code,Type ID,Data Pass ID,Is Active,City,City Insee Code,Department Insee Code,Is Experiment,France Services Label,France Services Number,UUID
1109,Maison France Services Metzervisse,21570465100011,22B Route de Volstroff,57940,,6682,true,Metzervisse,57733,57,false,true,,a60d15ae-7787-4b6f-9818-87fab8501d7d
4079,VIC SUR SEILLE,21570712600011,22 PLACE PHILIPPE LEROY,57630,1,57610395,true,VIC SUR SEILLE,57712,57,false,true,215707126,140a99bf-9007-4f52-99dc-e326e80e8de2
2164,Maison France Services Verny,20003990700056,9 rue du château,57420,14,9612,true,Verny,57708,57,false,true,,f09566d2-e8ae-4786-93b7-504960210464
2702,PUZZLE,21570672200018,2 COUR DU CHATEAU,57100,34,11291,true,,57672,57,false,false,,9d5a541d-6ef6-45a8-9fad-6744d303701a
3328,Thionville Emploi,26570194600013,29 BD JEANNE D ARC,57100,16,13055,true,,57672,57,false,false,,bc249b80-7d8a-488b-9229-8f8125efc94d
4571,MAIRIE DE SARREGUEMINES,21570631800015,"2, rue du Maire Massing",57200,4,57211037,true,SARREGUEMINES,57631,57,false,false,,ca4980c9-6295-4109-91a6-041f8e894499
1114,Mairie de Frauenberh,21570234100011,9 RUE PRINCIPALE,57200,,6412,true,,57631,57,false,false,,154caadd-006b-4d2b-b851-bfedc9b581ef
4772,France Services Sarrebourg Moselle Sud,20006814600014,3 TSSE NORMANDIE,57400,1,40281,true,Sarrebourg,57630,57,false,true,,fa127f7b-f393-4cac-8e4a-297cb0ce258e
2883,Moselle Fibre,20005205800050,28 LA TANNERIE,57070,279,12005,true,Saint-Julien-Lès-Metz,57616,57,false,false,,a894d44f-92d2-4bf8-8dbd-281f467e603f
5540,miXYtés,81225548700025,65 rue georges hermann,57070,9,57012475,true,Saint-Julien-lès-Metz,57616,57,false,false,,ab0138a0-218d-4689-8a7a-894121b0678c
4992,CCPOM Rombas,24570127100018,1 Rue Alexandrine,57120,1,57111569,true,Rombas,57591,57,false,true,2078,9b71192e-9760-4250-aeec-46c2710a61a4
4082,France Services Orne Moselle,2457012700018,1 rue Alexandrine,57120,1,57110423,true,ROMBAS,57591,57,false,true,2078,02acc18f-7c69-4326-998c-554e7aa1af2b
3888,MAIRIE DE RHODES,21570579900019,29 RUE DE L’ÉTANG,57810,4,57810141,true,RHODES,57579,57,false,false,,733c1c7e-d335-4c53-9fba-65705482d3c4
2163,Maison France Services Rémilly,20003990700056,"1, Rue du Parc",57580,14,9771,true,,57572,57,false,true,,16913391-403a-455b-8858-985a890938de
4773,Commune de Puttelange-aux-Lacs,21570556700018,2p Rue Jean XXIII,57510,1,57511285,true,Puttelange-aux-Lacs,57556,57,false,true,2780,7481a163-d757-461d-a35a-96380755e7d0
1878,CENTRE INTERCOMMUNAL D'ACTION SOCIALE DE LA CCIVS,20000241800016,ZA THEORAT NORD,24190,16,9883,true,NEUVIC-SUR-L'ISLE,57533,57,false,false,,74a0ec74-91d9-4d9d-8848-e4d629c1e5a5
4330,France Services Ottange,21570529400019,39 rue Principale,57840,1,57810691,true,OTTANGE,57529,57,false,true,,0f928fdd-f9fe-42ed-b3f4-38dc44058274
4230,FRANCE SERVICES LA VALLE DES ANGES,21570508800015,5 RUE VICTOR HUGO,57240,19,33130,true,,57508,57,false,true,,53c0f697-23bc-49c1-8985-e4714bca45b0
