Name,ID,Is Active,City Insee Code,Address,Zip Code,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
CCAS Peymeinade,930,true,06095,11 BD GENERAL  DE GAULLE,06530,false,Peymeinade,2,,,,,,,,,,,,
France Services Banon,931,true,57490,5261 PL DE LA REPUBLIQUE,4150,true,,2,,,,,,,,,,,,
Commune de Berre l'Etang,932,true,13014,PL JEAN MOULIN,13130,false,Berre-l'Étang,32,102,429,54,,4,1,,5,209,2,139,15
MFS MORMOIRON,934,true,84070,2 place de la poste,84570,false,,5,,,,,,,,,,,,
CCAS PORT-SAINT-LOUIS-DU-RHONE,935,true,13078,AV DU PORT,13230,false,PORT-SAINT-LOUIS-DU-RHONE,6,,,,,,,,,,,,
France Services Barcelonnette,936,true,57490,4 AV DES TROIS FRERES ARNAUD,4400,true,,4,35,249,1,,8,,,2,24,33,178,3
Centre Communal d'Action Sociale de Dammarie-les-Lys,937,true,77152,593 RUE DU BAS MOULIN,77190,false,Dammarie-les-Lys,9,,,,,,,,,,,,
CIAS Carnelle Pays de France: bus itinérant France Service,939,true,95026,5 rue de La Fontaine,95270,false,,0,,,,,,,,,,,,
CCAS de Créteil - Service des Prestations sociales,941,true,94028,PL SALVADOR ALLENDE,94000,false,,14,18,4,1,,,,,,1,,,2
Couesnon Marches de Bretagne,942,true,35164,Pôle Social et Solidaire - rue de Fougères,35560,false,,3,2,,,,,,,,,,,
Liffré Cormier communauté Point Accueil emploi,943,true,35152,24 RUE LA FONTAINE,35340,false,,4,,,,,,,,,,,,
Centre social et culturel d'Arpajon/Cère,944,true,15012,15 AVENUE DU GENERAL LECLERC,15130,false,,3,,,,,,,,,,,,
Mairie de Ydes,945,true,15111,10 Place Georges Pompidou,15210,false,,3,,,,,,,,,,,,
Maison des Services Au Public Riom-ès-Montagnes,946,true,15162,Place de la Gare,15400,false,Riom-ès-Montagnes,4,,,,,,,,,,,,
CIAS DU PAYS DE MARTIGUES - Pôle Social de Port de Bouc,947,true,13077,30 RUE CHARLES NEDELEC,13110,false,,8,3,2,,,,,,,2,,,
Espace Autonomie Santé Centre Bretagne,949,true,56178,1-3 QUAI DES RECOLLETS,56300,false,,11,,,,,,,,,,,,
LIGUE DE L'ENSEIGNEMENT DE L'ALLIER,950,true,57490,42 RUE DU PROGRES,3000,false,,0,,,,,,,,,,,,
CCAS DE PORT DE BOUC,951,true,13077,30 RUE CHARLES NEDELEC,13110,false,,0,,,,,,,,,,,,
AFR POUIILY SOUS CHARLIEU,952,true,42177,15 RUE DU 19 MARS 1962,42720,false,,3,,,,,,,,,,,,
Itinérance France services Leff armor communauté,953,true,22121,MOULIN DE BLANCHARDEAU,22290,true,,3,1,3,,,,,,,,,3,
Centre Social et d'Animation du Biollay,954,true,73065,119 PL RENE VAIR,73000,false,,5,,,,,,,,,,,,
Mairie Gouarec,955,true,22064,5 RUE DE L'EGLISE,22570,false,GOUAREC,1,,,,,,,,,,,,
Cybercommune Elven,956,true,56247,PL DE VERDUN,56250,false,Elven,2,,,,,,,,,,,,
Centre Médico Psychologique de Rostrenen,958,true,22220,CMP 11 place du Porz Moelou,22210,false,PLOUGUERNEVEL,4,,,,,,,,,,,,
Mairie de quartier du Sierroz,959,true,73008,38 rue du Docteur François Gaillard,73100,false,Aix-les-Bains,3,2,1,,,,,,,,1,,
Association Les Genêts d'Or,960,true,29019,7 RUE DU COMMANDANT DROGOU,29200,false,,3,1,,,,,,,,,,,
Cybercommune de Guerlédan,961,true,22158,4 PLACE SAINTE SUZANNE,22530,false,,2,,,,,,,,,,,,
CCAS SERENT,962,true,56244,15 RUE DU GENERAL DE KERHUE,56460,false,SERENT,1,,,,,,,,,,,,
Mairie de DUAULT,963,true,22031,7 Rue du lavoir,22160,false,,1,,,,,,,,,,,,
Mairie de LA CHAPELLE NEUVE,964,true,22031,1 Hent An Iliz 22160 La Chapelle-Neuve,22160,false,,1,,,,,,,,,,,,
Mairie de Pommerit Le Vicomte,965,true,22070,8 PL DU CENTRE,22200,false,Pommerit-le-Vicomte,2,,,,,,,,,,,,
COMMUNE DE QUISTINIC,966,true,56188,11 RUE DE LA MAIRIE,56310,false,,2,,,,,,,,,,,,
MAIRIE DE MINIAC-MORVAN,967,true,35179,PL DE LA MAIRIE,35540,false,,2,1,1,,,,,,,,1,,
Médiathèque Germaine Tillion,968,true,56206,"1, Rue des droits de l'homme",56890,false,,2,,,,,,,,,,,,
FRANCE SERVICES Pléneuf Val André,969,true,22186,1 rue Georges Le Breton,22370,true,Pléneuf-Val-André,4,1,2,2,,,,,,,,,
AMESUD,970,true,57490,1 RUE DE LA GARE,7260,false,,3,,,,,,,,,,,,
MIEUX VIVRE dans sa ville,971,true,74081,25 RUE RAYMOND POINCARE,74300,false,Cluses,6,,,,,,,,,,,,
Maison de l'emploi Surgères,972,true,17434,Square du château,17700,false,Surgères,5,174,963,78,,157,2,,45,314,118,243,6
ACIAH - Accessibilité Communcation Information Accompagnement du Handicap,973,true,44036,3 Avenue de la Fraternité 44110 Châteaubriant,44110,false,,2,,,,,,,,,,,,
MON ASSISTANT NUMERIQUE NANTES NORD,974,true,44026,2 CHE DES GAGNERIES,44470,false,,1,,,,,,,,,,,,
France Services Sud Estuaire,975,true,44154,6 rue Jules Ferry,44250,true,,3,97,,,,,,,,,,,
France services d'Ombrée d'Anjou,976,true,49248,36 rue du Maréchal Foch - Pouancé,49420,true,,3,,,,,,,,,,,,
Cholet-services,977,true,49099,24 Rue de la Hollande 49300 Cholet,49300,false,,1,2,,,,,,,,,,,
FRANCE SERVICES DU VIHIERSOIS,978,true,49373,2 RUE DU COMTE DE CHAMPAGNY,49310,true,,1,1,1,,,,,,1,,,,
France Services Meslay du Maine,979,true,53152,1 VOIE DE LA GUITERNIERE,53170,true,,3,1,,,,,,,,,,,
FRANCE SERVICES,981,true,85050,2 RUE DU CHEMIN DE FER,85540,true,,3,,,,,,,,,,,,
Mairie de Réaumur,982,true,85090,PL DE L'EGLISE,85700,false,,1,,,,,,,,,,,,
Maison de services au public - France Services,983,true,85090,LA FOURNIERE,85700,true,,4,1,2,,,,,,,,2,,
MAIRIE DE NOTRE DAME DE  RIEZ,984,true,85226,2 RUE DU LIGNERON,85270,false,,1,,,,,,,,,,,,
Ville Les Sables d'Olonne- Hôtel de Ville,986,true,85194,21 PL DU POILU DE FRANCE,85100,false,,3,,,,,,,,,,,,
MJC CENTRE SOCIAL,987,true,59279,78 RUE GUSTAVE DESMETTRE,59250,false,,2,,,,,,,,,,,,
Dispositif de réinstallation,988,true,57490,1 rue Boris Vian Appt 86,2320,false,,1,,,,,,,,,,,,
Mairie de Château l'Abbaye,989,true,59526,4 PL DE L'EGLISE,59230,false,,1,,,,,,,,,,,,
MAIRIE DE MARLES LES MINES,990,true,62555,PLACE ROGER SALENGRO,62540,false,,7,,,,,,,,,,,,
CCAS/Espace Seniors,991,true,02173,69 rue Ernest Renan,02300,false,Chauny,2,,,,,,,,,,,,
maison france services manzat,992,true,63206,6 RTE DE RIOM,63410,true,,3,,,,,,,,,,,,
FRANCE SERVICES RANDAN,993,true,63295,12 PL DE LA MAIRIE,63310,true,Randan,2,,,,,,,,,,,,
amej centre d'animation socioculturel,994,true,73213,RUE DE L EGLISE,73490,false,,5,1,,,,,,,,,,,
Mission Locale pour les jeunes du bassin d'emploi de Brioude,995,true,63050,serlandes 12,63570,false,,2,,,,,,,,,,,,
La Turbine sciences,996,true,74010,ESP DE L HOTEL DE VILLE,74000,false,,2,,,,,,,,,,,,
CCAS de Rillieux-la-Pape,997,true,69286,165 RUE AMPERE,69140,false,,10,,,,,,,,,,,,
Faucigny Mont Blanc Développement - Maison de l'Emploi,998,true,74042,100 RUE PAUL VERLAINE,74130,false,,7,,,,,,,,,,,,
Commune de Bellechassagne,999,true,19261,LE BOURG,19290,false,,0,,,,,,,,,,,,
France Services Sainte-Fortunade,1000,true,19203,1 Route du Château Comtal,19490,true,SAINTE-FORTUNADE,2,8,,,,,,,,,,,
CCAS de Bayonne - Plateforme budget,1001,true,64102,30 PL DES GASCONS,64100,false,BAYONNE,4,,,,,,,,,,,,
CCAS de Bayonne - Résidence Autonomie SOLEIL,1002,true,64102,2bis Esplanade Jouandin,64100,false,BAYONNE,1,,,,,,,,,,,,
CCAS de Bayonne - CLIC,1003,true,64102,"24bis, bld Alsace-Lorraine",64100,false,BAYONNE,8,1,,,,,,,,,,,
CCAS de Bayonne - EHPAD HARAMBILLET,1004,true,64102,"3, avenue André Harambillet",64100,false,BAYONNE,4,,,,,,,,,,,,
CCAS de Bayonne - Service RSA,1005,true,64102,30 PL DES GASCONS,64100,false,BAYONNE,5,,,,,,,,,,,,
Maison de la Vie Citoyenne Bayonne Centre-Ville,1006,true,64102,13  RUE GEORGES BERGES,64100,false,Bayonne,1,1,,,,,,,,,,,
CCAS LE TAMPON - DIRECTION GENERALE,1007,true,97422,256 RUE HUBERT DELISLE,97430,false,LE TAMPON,19,77,154,3,,69,,,7,6,,9,60
Association collectif d'animation de Sainte-Marie  (COASM),1008,true,97418,2 RUE DU FRERE SCUBILLION,97438,false,,1,,,,,,,,,,,,
MON ASSISTANT NUMERIQUE LOIRE & DIVATTE,1009,true,49069,"Le Marais, la Varenne, Orée d'Anjou",49270,false,,1,,,,,,,,,,,,
Commune de la Rabatelière,1010,true,85065,3 RUE DE L'ETANG,85250,false,,2,,,,,,,,,,,,
Médiathèque Jean Carmet,1011,true,49223,37 route de Nantes,49610,false,,1,,,,,,,,,,,,
Communauté de communes du Pays Bigouden Sud,1012,true,29220,17 RUE RAYMONDE FOLGOAS GUILLOU,29120,false,,2,,,,,,,,,,,,
Mairie de Tréfumel,1013,true,22308,2 route de Saint-Juvat,22630,false,,1,,,,,,,,,,,,
CENTRE SOCIAL LA GARDE,1014,true,57490,BP 34,13381,false,,3,,,,,,,,,,,,
CCAS DE GEMENOS,1015,true,57490,CS 81016,13788,false,,3,,,,,,,,,,,,
Esplanade de l'Internet France Service Draguignan,1016,true,83050,"53, Bd des martyrs de la Résistance",83300,false,Draguignan,11,23,53,1,,,,,1,,50,1,
CCAS de Barbentane,1017,true,13010,"Espace Baron de Chabert, Hôtel de ville",13570,false,,3,,,,,,,,,,,,
CCAS de SOLLIES-PONT,1018,true,83130,1 B RUE DE LA REPUBLIQUE,83210,false,SOLLIES-PONT,2,1,,,,,,,,,,,
Maison Pour Tous Centre Social Romain Rolland,1019,true,13210,"211, Boulevard Romain Rolland",13010,false,,6,,,,,,,,,,,,
CENTRE SOCIAL ADIS LES AMANDIERS,1020,true,13001,8 ALLEE DES AMANDIERS,13090,false,,1,,,,,,,,,,,,
Anonymal,1021,true,13001,1 PL VICTOR SCHOELCHER,13090,false,,6,,,,,,,,,,,,
Association SOLIDARNUM,1022,true,97411,18 RUE ALBERT LOUGNON,97490,false,SAINT-DENIS,11,32,78,8,,5,,,1,12,,52,
CYBERBASE DU GROS-MORNE,1023,true,97213,RUE JOUANNEAU COURVILLE,97213,false,,6,42,2,,,,,,,2,,,
Point Accueil Infos Services,1024,true,97114,68 résidence Cythères 2,97128,false,,1,,,,,,,,,,,,
Cité Sociale Trait d'Union,1025,true,59017,Place du General de Gaulle,59280,false,Armentières,3,,,,,,,,,,,,
France Service de Calenzana,1027,true,2B049,LAGAZEZE,20214,false,Calenzana,1,,,,,,,,,,,,
France Service de Castello Di Rostino,1028,true,2B079,PONTE NOVU,20235,false,Castello Di Rostino,3,,,,,,,,,,,,
France Service de Cervione,1029,true,2B087,RUE A TRAVERSA,20221,false,Cervione,3,,,,,,,,,,,,
France Service de Luri,1030,true,2B152,CORSO,20228,false,Luri,3,,,,,,,,,,,,
France Service de Patrimonio,1031,true,2B205,CANALE,20253,false,Patrimonio,3,,,,,,,,,,,,
France Service de Piana,1032,true,2A212,PLACE DE LA MAIRIE,20115,false,Piana,2,,,,,,,,,,,,
France Service de Sotta,1034,true,2A288,RUE PRINCIPALE,20146,false,Sotta,3,,,,,,,,,,,,
Espace France Services Itinérant Portes Thiérache,1035,true,02666,320 Rue des Verseaux,02360,true,Rozoy-sur-Serre,2,,,,,,,,,,,,
France Service de Vico,1037,true,2A348,COURS JEAN ETIENNE COLONNA,20160,false,Vico,6,,,,,,,,,,,,
CCAS AMBROISE CROIZAT,1039,true,62724,RUE FOCH,62320,false,,7,1,,,,,,,,,,,
Centre Communal d'Action Sociale de la ville de Limoges,1040,true,87085,9 PL LEON BETOULLE,87000,false,Limoges,20,8,22,5,,6,,,8,1,1,1,
mairie de PLOËZAL,1041,true,22204,3 RUE DE LA MAIRIE,22260,false,,1,,,,,,,,,,,,
Mairie de Callac,1042,true,22025,PL JEAN AUFFRET,22160,false,CALLAC,1,,,,,,,,,,,,
France services Roi Morvan Communauté,1043,true,56066,13 rue  jacques Rodallec 56110 GOURIN,56110,true,Gourin,2,3,2,,,,,,,2,,,
Cabinet À portée de mots,1044,true,44184,45 boulevard de la Libération,44600,false,,1,,,,,,,,,,,,
Maison de quartier Chesnaie Trébale,1045,true,44184,1 B RUE DES AJONCS,44600,false,,2,,,,,,,,,,,,
FRANCE SERVICES PARIGNE L'EVEQUE,1047,true,72047,12 RUE DES ECOLES,72250,true,,3,,,,,,,,,,,,
Centre socio-culturel du talmondais,1048,true,85288,292 RUE DU CHAI,85440,false,,2,,,,,,,,,,,,
