Name,ID,UUID,Is Active,City Insee Code,Address,Zip Code,Siret,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
Centre social Le Parc,2794,296572e1-e96c-492b-b050-d7431d86f2ad,true,59286,2 Rue de Paris,59320,78363791100026.0,false,Haubourdin,3,,,,,,,,,,,,
CCAS de BRAY-DUNES,2795,4a53b9c0-1e2d-48af-ba1e-0ed5c21650bc,true,59107,341 AV DU GEN DE GAULLE,59123,26590107400020.0,false,Bray Dunes,4,34,185,3,,3,,,11,1,1,162,4
Centre Social La Passerelle CAUDRY,2796,fb6bc3c4-490b-457a-8d8a-27c5dc9a66d1,true,59139,Rue Camille Desmoulins,59540,42993263500015.0,false,Caudry,5,6,,,,,,,,,,,
CCAS ABBEVILLE,2797,37f405c8-096f-425f-a693-0c0b289e6570,true,80001,6 RUE DU CHAMP DE MARS,80100,26800066800049.0,false,Abbeville,9,1,1,,,,,,,1,,,
Réseau Solidarité 2.0 Saint-Quentin,2798,76b19c01-212a-4270-8403-e25bdee7e222,true,02691,1 PL DE L HOTEL DE VILLE,02100,21020666000016.0,true,St Quentin,8,12,24,4,,2,,,1,,6,10,1
Espace France Services La Poste Oisemont,2799,d30d2ce1-4fd8-41c2-b589-49d51abb972b,true,80354,6 rue du General de Gaulle,80140,35600000000048.0,true,Fresnes Tilloloy,0,,,,,,,,,,,,
Espace France Services La Poste Roye,2800,f1c2fcd8-42b2-45d5-a775-09b2792ff04e,true,80685,Place de la République,80700,35600000000048.0,true,Roye,0,,,,,,,,,,,,
ESPACE FRANCE SERVICES EPERLECQUES,2801,136ce6fb-384c-4064-9672-97b244101bbf,true,62592,LA PLACE,62910,21620297800013.0,true,Moringhem,3,3,17,,,,,,7,,,10,
CENTRE SOCIAL DU CENTRE VILLE,2802,588211de-cd13-4dca-a8eb-9fe9890ca524,true,59122,9 quai St Lazare,59400,42091636300021.0,false,Cambrai,4,,,,,,,,,,,,
CCAS Jeumont,2803,1ed95868-d5e6-4a65-9f86-33540a145143,true,59324,Centre administratif - Boulevard de Lessine - 2ème étage,59460,26590324500040.0,false,Jeumont,7,,,,,,,,,,,,
CCAS de Lille,2804,46b2acd3-33f2-4eef-a497-f08c4723068f,true,59350,PL AUGUSTIN LAURENT,59000,26590350000196.0,false,Lille,8,8,31,5,,7,,,,4,,11,4
FOYER CULTUREL ET SOCIAL JACQUES PELLETIER,2806,ece38a41-0ebb-4f0b-9e7e-22f5d9f9ae0d,true,02195,BD DES DANOIS,02220,78016574200013.0,false,Ciry Salsogne,1,1,1,,,,,,,1,,,
Ressourcerie L'Anthurium,2807,48aa85b4-d504-47f3-ad73-e4e1a87b1361,true,60025,43 RUE MARILLAC,60350,88348508800016.0,false,Attichy,2,,,,,,,,,,,,
CCAS PLAISANCE-DU-TOUCH,2808,9986f436-93eb-4a4a-91b1-79155b7372cf,true,31424,RUE MAUBEC	31830	PLAISANCE-DU-TOUCH,31830,26310136200014.0,false,Plaisance-Du-Touch,6,29,117,2,,49,,,27,35,,2,2
Centre social azimut,2809,ebcbc4e4-dbe0-4f75-805e-2ebf638b4063,true,31483,place de la  libération,31800,20007415100016.0,false,Saint-Gaudens,2,,,,,,,,,,,,
ASSOCIATION DEVELOPPEMENT DES HAUTES CORBIERES,2810,e633886f-0e56-4245-ac86-c058bf2a7788,true,11260,RUE DE LA GARE	11330	MOUTHOUMET,11330,35090616000014.0,false,Mouthoumet,12,5,2,,,,,,2,,,,
Maison des services Rezé,2811,24c452b1-d2f9-4cf8-9227-ba08bbc1d1ac,true,44143,Place François Mitterrand,44400,21440143200015.0,false,Reze,0,,,,,,,,,,,,
mairie palau del vidre,2812,6b99f30a-c9cb-4986-b83d-528a6220e203,true,66133,PL DE LA REPUBLIQUE,66690,21660133600011.0,false,Palau Del Vidre,0,,,,,,,,,,,,
Ligue de l'enseignement de la Mayenne - FAL53,2813,be61172f-0ac0-436a-9509-ee983fe48a04,true,53130,33 ALL DU VIEUX SAINT LOUIS,53000,78625748500015.0,false,Laval,1,,,,,,,,,,,,
Espace Multimédia,2814,92e8a0d3-3d75-43b0-a2a7-c52d05735036,true,72154,Boulevard montréal,72200,24720034800115.0,false,La Fleche,2,3,,,,,,,,,,,
Centre d'Accueil Communal + Accueil État Civil,2815,b8dbba3b-6922-4aca-a8b5-58e85d43f552,true,72004,RUE DU COLONEL DONALDSON,72540,21720168000014.0,false,Amne,2,,,,,,,,,,,,
Mission Locale Sarthe et Loir,2816,5af89a16-f16b-4926-a997-a7f2515b8529,true,72154,3 RUE NICOLAS APPERT,72200,51205627600011.0,false,La Fleche,3,,,,,,,,,,,,
Centre Social Chemins de Faire,2817,1949ec9a-f794-4e25-b74c-b28a76c6c6d7,true,29241,4 RUE ALSACE LORRAINE,29140,80252562600015.0,false,Rosporden,2,,,,,,,,,,,,
Mairie de Saint-Rieul,2818,378510ac-9e1f-40a1-b3e7-b88ed5775292,true,22145,1 RUE DE LA FORGE,22270,21220326900015.0,false,Megrit,1,,,,,,,,,,,,
MJC Maison pour Tous de Kerfeunteun,2819,1e4b4213-5e37-4a55-a391-90dd915c1a00,true,29232,RUE P TEILHARD CHARDIN,29000,32194340900029.0,false,Quimper,1,,,,,,,,,,,,
Médiathèque de SAINT-PERREUX,2820,8d692617-033f-43ff-9e58-67eb9598217b,true,56232,1 RUE DE LA MAIRIE,56350,21560232700011.0,false,Saint Perreux,2,,,,,,,,,,,,
FRANCE SERVICES ALLAIRE,2821,aa809ab8-df45-47d1-82cd-1a62a366a74e,true,56001,10 Place de l'église,56350,21560001600012.0,true,Allaire,3,,,,,,,,,,,,
Bibliothèque municipale de Dinan,2822,6ce7cc50-d06e-4f0d-a6bc-1a5fbd69199e,true,22008,20 Rue Waldeck Rousseau,22100,20007657800018.0,false,Bobital,2,,,,,,,,,,,,
L'Inter'Val,2823,878a996b-680f-4779-a1a9-f4c07e720d8a,true,35169,4 RUE DU CENTRE SOCIAL,35380,30159366100012.0,false,Maxent,1,,,,,,,,,,,,
La Courte Echelle,2824,5a12ff62-6e02-447a-82b8-1d913a1a6205,true,29212,4 RUE ANATOLE LE BRAZ,29280,38839891900034.0,false,Plouzane,2,,,,,,,,,,,,
France Services Vie et Boulogne,2825,48fa41cf-8f18-45b3-9555-b409f24981cb,true,85169,26 rue Georges Clemenceau,85670,20007288200018.0,true,Palluau,2,4,,,,,,,,,,,
Centre Socioculturel Le Verger,2827,942f364f-4661-485c-9c52-b6aae42b492a,true,49099,RUE DU BOIS REGNIER,49300,30341071600037.0,false,Cholet,1,,,,,,,,,,,,
Ménage service,2828,8073048e-e635-46ad-8b8c-42c575c70b9c,true,49099,1 AV DU MARECHAL FOCH,49300,42232137200068.0,false,Cholet,2,,,,,,,,,,,,
Maison de quartiers Solange Tonini,2829,1e9ddd5c-25b3-48f6-81f2-f3c34bcb6eba,true,59172,640 RUE BERTHELOT,59220,78386425900198.0,false,Denain,1,,,,,,,,,,,,
