ID;Name;Is Active;City Insee Code;Address;Zip Code;Siret;France Services Label;Nombre d'aidants;Nombre D'usagers Uniques;Nombre De Demarche Par Structure;Nombre Demarche Argent;Nombre Demarche Etranger;Nombre Demarche Famille;Nombre Demarche Justice;Nombre Demarche Loisirs;Nombre Demarche Papier;Nombre Demarche Social;Nombre Demarche Transport;Nombre Demarche Travail;Nombre Demarche Logement
1090;France Services Vireux molhain;TRUE;08486;13 AV ROGER POSTY;08320;39 450 067 200 032;TRUE;2;28;169;17;2;30;;;15;37;22;78;12
1091;Espace numérique de Sémaphore;TRUE;68224;7 RUE DU MOULIN;68100;37 944 112 400 011;FALSE;6;;;;;;;;;;;;
1092;FRANCE SERVICES BRUYERES;TRUE;88297;24 avenue du Cameroun;88600;20 004 200 000 014;TRUE;1;;;;;;;;;;;;
1093;Mission Locale du Pays de Remiremont - France Services Pays de Remiremont;TRUE;88383;26 RUE CHARLET;88200;40 852 636 600 039;TRUE;5;30;190;13;;10;;;14;39;5;132;4
1094;Communauté de Communes Seille et Grand Couronné (54);TRUE;54113;47 RUE SAINT BARTHELEMY;54280;20 007 058 900 011;FALSE;4;34;184;31;;5;4;;12;35;21;88;24
1095;Relais Familles du Saintois - France Services Vézelise;TRUE;54563;3 rue de la libération;54330;42 029 252 600 027;TRUE;0;;;;;;;;;;;;
1096;France Services Neufchâteau;TRUE;88321;5 Square des Anciens d'Indochine;88300;20 006 855 900 018;TRUE;3;1;11;2;2;2;2;2;2;2;2;2;2
1097;France Services de Corcieux (Antenne de la FS de Fraize);TRUE;88262;337 rue de la Gare, 88430 CORCIEUX;88650;20 007 106 600 191;TRUE;1;;;;;;;;;;;;
1098;CIAS de Langres;TRUE;52269;3 RUE JEAN TABOUROT;52200;20 006 015 000 014;FALSE;3;4;17;;;5;2;;2;6;;6;
1099;MSAP CORCIEUX;TRUE;88198;337 RUE DE LA GARE;88430;20 007 106 600 191;FALSE;2;;;;;;;;;;;;
1101;FRANCE SERVICES EPERNAY AGGLO CHAMPAGNE;TRUE;51110;10 RUE DES LORIOTS VERTUS;51130;20 006 768 400 015;TRUE;2;38;392;58;;20;15;4;19;138;31;187;47
1102;FRANCE SERVICES DE FRESNES EN WOEVRE;TRUE;55237;16 RUE DES EPARGES;55160;24 550 117 600 011;TRUE;2;1;2;;;;;;2;;;;
1103;France Services Argonne champenoise;TRUE;51341;50 AV DE PERTISON;51800;20 004 270 300 138;TRUE;5;;;;;;;;;;;;
1104;Mairie MONTBRAS;TRUE;55533;2 rue des Erables;55140;21 550 344 200 018;FALSE;1;;;;;;;;;;;;
1105;France-services de BULGNEVILLE;TRUE;88516;La Poste 135 Rue de Verdun 88800 VITTEL;88800;35 600 000 046 047;FALSE;3;;;;;;;;;;;;
1106;Mairie de Morelmaison;TRUE;88206;34 rue de l'Eglise;88170;21 880 312 000 011;FALSE;1;;;;;;;;;;;;
1107;Communauté de Communes Damvillers-Spincourt;TRUE;55013;3 PL LOUIS BERTRAND;55230;20 006 617 300 010;FALSE;4;15;43;5;;2;3;;10;5;24;7;
1108;Mission Locale du Pays Messin;TRUE;57463;3 B RUE D ANJOU;57070;32 902 340 200 020;FALSE;2;10;103;40;5;29;5;5;14;19;7;15;17
1109;Maison France Services Metzervisse;TRUE;57733;22B Route de Volstroff;57940;21 570 465 100 011;TRUE;3;25;189;38;4;19;10;4;31;50;30;46;20
1110;CIAS DE L'AIRE A L'ARGONNE;TRUE;55301;27 RUE DU MONT;55260;20 006 614 000 019;FALSE;1;;;;;;;;;;;;
1111;MH4W - Pratimedia CHAUMONT;TRUE;52121;1 RUE AUGUSTE PARISOT;52000;84 181 320 700 013;FALSE;1;2;7;6;;;;;;;;;2
1112;Commune de SOMMEVOIRE;TRUE;52088;1 PL DE L'HOTEL DE VILLE;52220;21 520 341 500 017;FALSE;1;;;;;;;;;;;;
1113;Mon Assistant Numérique Troyes;TRUE;10387;48 RUE DES NOES;10000;89 779 982 100 011;FALSE;0;;;;;;;;;;;;
1114;Mairie de Frauenberh;TRUE;57631;9 RUE PRINCIPALE;57200;21 570 234 100 011;FALSE;1;;;;;;;;;;;;
1115;CASF;TRUE;67169;7 RUE DES CASERNES;67240;34 345 833 700 023;FALSE;5;;;;;;;;;;;;
1116;Mairie d'Allarmont;TRUE;88372;29 rue Henri Valentin;88110;21 880 005 000 013;FALSE;2;;;;;;;;;;;;
1117;CCAS DE REMIREMONT;TRUE;88383;5 PL DU BATARDEAU;88200;26 880 044 800 048;FALSE;3;4;65;13;;24;4;;16;15;9;15;15
1118;FRANCE SERVICES SUIPPES;TRUE;51559;15 PL DE L HOTEL DE VILLE;51600;20 004 262 000 019;TRUE;2;;;;;;;;;;;;
1119;Mairie de Daix;TRUE;21278;5 RUE DE FONTAINE;21121;21 210 223 000 019;FALSE;2;1;3;;;;;;;;3;;
1120;Agence territoriale d'Insertion savanes;TRUE;97304;PSPK avenue des roches;97310;20 005 267 800 014;FALSE;7;1;8;2;2;2;;;2;2;;2;2
1121;Médiathèques Haut-Jura Saint-Claude;TRUE;39478;5, place de l'Abbaye;39200;20 002 657 300 135;FALSE;3;;;;;;;;;;;;
1122;Syntaxe Erreur 2.0;TRUE;71230;PL DE L EGLISE;71130;81 811 191 600 024;FALSE;5;52;457;53;;8;;;12;45;212;87;61
1123;CONSEIL DEPARTEMENTAL DE L'ACCES AU DROIT DE LA SARTHE;TRUE;72181;1 AV PIERRE MENDES FRANCE;72000;18 723 703 700 010;FALSE;1;;;;;;;;;;;;
1124;WIFISILVER;TRUE;97113;LD COCOYER;97190;84 063 460 400 010;FALSE;1;;;;;;;;;;;;
1125;Maison des Séniors - Armentières;TRUE;59017;"Place du General de Gaulle
59280
Armentières";59280;21 590 017 600 011;FALSE;1;;;;;;;;;;;;
1126;FRANCE SERVICES LOOS;TRUE;59360;100  RUE DU MARECHAL FOCH;59120;21 590 360 000 017;TRUE;2;;;;;;;;;;;;
1127;COMMUNAUTE D'AGGLOMERATION CHAUNY - TERGNIER - LA FERE;TRUE;02456;57 BD GAMBETTA;02300;20 007 178 500 014;FALSE;2;;;;;;;;;;;;
1128;CCAS de Sallaumines;TRUE;62771;RUE D'HOUDAIN;62430;26 620 771 100 018;FALSE;6;;;;;;;;;;;;
1129;CENTRE COMMUNAL D'ACTION SOCIALE DE HASPRES;TRUE;59285;RUE JEAN JAURES;59198;26 590 285 800 017;FALSE;1;;;;;;;;;;;;
1130;CCAS DE WORMHOUT;TRUE;59663;62 PL DU GENERAL DE GAULLE;59470;26 590 663 600 013;FALSE;1;;;;;;;;;;;;
1131;CCAS de SIN LE NOBLE;TRUE;59569;491 Rue de Douai 59450 Sin-le-Noble;59450;26 590 569 500 077;FALSE;8;9;54;6;;18;2;;12;15;;9;18
1132;CENTRE D'ANIMATION LE LACAOU;TRUE;64348;37 RTE DE BAYONNE;64140;21 640 129 900 013;FALSE;4;;;;;;;;;;;;
1133;L'ETAPE;TRUE;33213;1 PL SAINT ANTOINE;33650;84 108 758 800 015;FALSE;1;1;2;;;;;;;;2;;
1134;CENTRE SOCIAL DENENTZAT;TRUE;64260;29 RUE RICHELIEU;64700;33 400 981 800 017;FALSE;2;;;;;;;;;;;;
1135;France Services Simone Veil;TRUE;87161;15 rue de Beaufort;87400;24 871 936 100 078;TRUE;2;;;;;;;;;;;;
1136;MAIRIE DE SEILHAC;TRUE;19194;4 AV JEAN VINATIER;19700;21 192 550 800 015;FALSE;3;;;;;;;;;;;;
1137;France Services Châlus;TRUE;87032;28 avenue François Mitterrand;87230;20 007 050 600 015;TRUE;2;;;;;;;;;;;;
1138;LA RESSOURCE AAA;TRUE;45234;106 Rue de Bourgogne 45000 Orléans;45000;80 361 853 700 028;FALSE;2;11;134;25;19;29;16;18;25;25;16;25;22
1139;CCAS DE DREUX;TRUE;28134;22 RUE DES GAULTS;28100;26 280 058 400 316;FALSE;4;;;;;;;;;;;;
1140;Familles rurales fédération départementale de l'Indre;TRUE;36044;148 AV MARCEL LEMOINE;36000;35 393 745 100 022;FALSE;4;;;;;;;;;;;;
1141;Maison France Services Sancergues;TRUE;18120;8 RUE HUBERT GOUVERNEL;18140;20 003 251 400 024;TRUE;2;;;;;;;;;;;;
1142;France Services Montlouis-sur-Loire;TRUE;37156;6 PL FRANCOIS MITTERRAND;37270;21 370 156 800 015;TRUE;3;;;;;;;;;;;;
1143;ESSTEAM/Level Up Cluster;TRUE;59599;AV KENNEDY;59200;34 535 717 200 013;FALSE;2;;;;;;;;;;;;
1144;Itinérante Vierzon Sologne Berry;TRUE;18263;2 RUE BLANCHE BARON;18100;20 009 056 100 016;FALSE;2;;;;;;;;;;;;
